Date	Confirmed	Deaths	Recovered
01-22-2020	0	0	0
01-23-2020	0	0	0
01-24-2020	0	0	0
01-25-2020	0	0	0
01-26-2020	0	0	0
01-27-2020	0	0	0
01-28-2020	0	0	0
01-29-2020	0	0	0
01-30-2020	0	0	0
01-31-2020	0	0	0
02-01-2020	0	0	0
02-02-2020	0	0	0
02-03-2020	0	0	0
02-04-2020	0	0	0
02-05-2020	0	0	0
02-06-2020	0	0	0
02-07-2020	0	0	0
02-08-2020	0	0	0
02-09-2020	0	0	0
02-10-2020	0	0	0
02-11-2020	0	0	0
02-12-2020	0	0	0
02-13-2020	0	0	0
02-14-2020	0	0	0
02-15-2020	0	0	0
02-16-2020	0	0	0
02-17-2020	0	0	0
02-18-2020	0	0	0
02-19-2020	0	0	0
02-20-2020	0	0	0
02-21-2020	0	0	0
02-22-2020	0	0	0
02-23-2020	0	0	0
02-24-2020	0	0	0
02-25-2020	0	0	0
02-26-2020	0	0	0
02-27-2020	0	0	0
02-28-2020	0	0	0
02-29-2020	0	0	0
03-01-2020	0	0	0
03-02-2020	0	0	0
03-03-2020	0	0	0
03-04-2020	0	0	0
03-05-2020	0	0	0
03-06-2020	0	0	0
03-07-2020	0	0	0
03-08-2020	4	0	0
03-09-2020	4	0	0
03-10-2020	4	0	0
03-11-2020	7	1	0
03-12-2020	7	1	0
03-13-2020	23	1	0
03-14-2020	41	2	0
03-15-2020	51	2	0
03-16-2020	52	2	0
03-17-2020	67	2	0
03-18-2020	92	2	0
03-19-2020	94	3	0
03-20-2020	127	3	0
03-21-2020	163	3	3
03-22-2020	187	3	3
03-23-2020	201	3	3
03-24-2020	218	3	3
03-25-2020	242	3	4
03-26-2020	264	3	8
03-27-2020	293	3	9
03-28-2020	331	7	11
03-29-2020	346	8	14
03-30-2020	359	8	17
04-01-2020	422	10	20
04-02-2020	457	10	25
04-03-2020	485	14	30
04-04-2020	503	17	34
04-05-2020	531	20	37
04-06-2020	549	22	39
04-07-2020	577	23	42
04-08-2020	593	24	42
04-09-2020	618	24	48
04-10-2020	635	25	54
04-11-2020	661	28	62
04-12-2020	675	29	68
04-13-2020	685	32	71
04-14-2020	713	35	81
04-15-2020	747	36	105
04-16-2020	800	38	122
04-17-2020	846	41	141
04-18-2020	878	41	153
04-19-2020	894	42	161
04-20-2020	929	43	167
04-21-2020	975	45	170
04-22-2020	1024	49	174
